Key,russian
ulmBookMaintenancePlane,"Обслуживание самолетов"
ulmBookMaintenancePlaneDesc,"Содержит всю необходимую информацию о том, как ремонтировать и обслуживать различные типы самолетов.\n[decea3](Должен знать обслуживание гирокоптеров)[-]"
ulmBookMaintenanceHelicopter,"Обслуживание вертолета"
ulmBookMaintenanceHelicopterDesc,"Содержит всю необходимую информацию по ремонту и обслуживанию вертолетов различных типов.\n[decea3](Должен знать обслуживание самолетов)[-]"
ulmSteelGasContainerMaterial,"Сталь"
ulmToolBerserkerDrill,"Бур Валькирии"
ulmToolBerserkerDrillDesc,"[decea3]+200%[-] урона руде, асфальту и [decea3]+120%[-] урона по земле."
ulmToolBoneSaw,"Костяная пила"
ulmToolBoneSawDesc,"Грубая костяная пила, предназначенная для разделки туш животных на более мелкие части."
ulmMeleeAxeCarpenters,"Топор плотника"
ulmMeleeAxeCarpentersDesc,"[decea3]+200%[-] урона по деревьям."
ulmToolFireExtinguisher,"Огнетушитель"
ulmToolFireExtinguisherDesc,"Похоже, он неисправен: манометр не показывает давления. Возможно, после разборки его детали ещё на что-нибудь пригодятся."
ulmToolFryingPan,"Сковорода"
ulmToolFryingPanDesc,"Старая сковорода. Довольно тяжелая и несбалансированная, чтобы использовать ее как оружие, но если это единственное доступное средство, она может спасти вам жизнь."
ulmToolHammerWood,"Деревянный молоток"
ulmToolHammerWoodDesc,"Самый простой деревянный молоток для плотницких работ. Может использоваться для ремонта или модернизации блоков."
ulmToolJackhammer,"Отбойный молоток"
ulmToolJackhammerDesc,"[decea3]+200%[-] урона по руде и асфальту. Направьте на камень или бетон, чтобы разбить их в считанные секунды!"
ulmToolMoldBrick,"Форма для кирпича"
ulmToolMoldBrickDesc,"Форма для формовки глины в кирпичи."
ulmToolMoldGlass,"Форма для пластин"
ulmToolMoldGlassDesc,"Форма, в которой расплавленный песок или стекло застывают в пластины."
ulmToolMoldIngot,"Форма для литья слитков"
ulmToolMoldIngotDesc,"Форма, в которой расплавленные металлы застывают в слитки."
ulmToolPickaxeIceBreaker,"Кирка-ледокол"
ulmToolPickaxeIceBreakerDesc,"[decea3]+100%[-] урона по руде и асфальту. Обычно этот инструмент используется для колки льда, но предположительно его можно использовать и для добычи камней или руды."
ulmToolPickaxeScrapIron,"Кирка из лома"
ulmToolPickaxeScrapIronDesc,"[decea3]+100%[-] урона по руде и асфальту. Железный лом грубой формы с острым наконечником, напоминающим кирку, с сомнительной прочностью."
ulmToolPickaxeStone,"Каменная кирка"
ulmToolPickaxeStoneDesc,"[decea3]+100%[-] урона по руде и асфальту. Может показаться нелогичным бить камень о камень, но с помощью грубой силы и удачи вы сможете добыть несколько камней с помощью этого очень примитивного горного инструмента."
ulmToolPickaxeTitanium,"Кирка из титана"
ulmToolPickaxeTitaniumDesc,"[decea3]+100%[-] больше урона по руде и асфальту. Изготовлена из очень прочного титанового сплава, используется в основном для добычи камней или руды"
ulmToolSaw,"Пила"
ulmToolSawDesc,"Она едва может пилить дерево, но все же может быть полезна."
ulmToolSickleBrass,"Латунный серп"
ulmToolSickleBrassDesc,"Срезает траву на большой площади вокруг места удара."
ulmToolSickleIron,"Железный серп"
ulmToolSickleIronDesc,"Срезает траву на большой площади вокруг места удара."
ulmToolSickleRusty,"Ржавый серп"
ulmToolSickleRustyDesc,"Едва пригодный к работе серп с тупым и проржавевшим лезвием. Может срезать траву на небольшой площади вокруг места удара."
ulmToolSickleScrap,"Серп из металлолома"
ulmToolSickleScrapDesc,"Достаточно хорош, чтобы срезать траву на небольшой площади вокруг места удара."
ulmToolSickleSteel,"Стальной серп"
ulmToolSickleSteelDesc,"Срезает траву на большой площади вокруг места удара."
ulmToolSickleTitanium,"Титановый серп"
ulmToolSickleTitaniumDesc,"Один из самых прочных серпов, которые вообще можно найти. Срезает траву на большой площади вокруг места удара."
ulmToolShovelScrapIron,"Лопата из лома"
ulmToolShovelScrapIronDesc,"Собрана из различных железных кусочков и деталей. Должна работать лучше, чем кусок камня, привязанный веревкой к палке."
ulmToolShovelTitanium,"Титановая лопата"
ulmToolShovelTitaniumDesc,"Самый роскошный инструмент для копания в грязи, песке или снегу."
ulmQualityUnlocksGroupDesc,"Сборник данных исследований для улучшения ваших навыков изготовления и создания предметов более высокого качества в этой категории.\n\n[decea3]Перед использованием необходимо изучить предыдущие уровни этого исследования![-]"
buffAutoWeaponsComplete,"автоматический оружие скорость бонус"
buffAutoWeaponsCompleteDesc,"Каждое убийство из автоматического оружия увеличивает вашу скорость бега."
ulmDebuffEncumbered,"Перегрузка"
ulmDebuffEncumberedDesc,"Вы несете больше, чем может выдержать ваше тело и снаряжение. Пока вы перегружены, у вас будет снижаться подвижность и сила прыжка, чем больше вы перегружены, тем сильнее эффект. Слишком большая нагрузка на организм может вызвать долгосрочные проблемы, поэтому будьте осторожны."
ulmBuffHercules,"Геркулес"
ulmBuffHerculesDesc,"Вы чувствуете божественную силу Геркулеса, грузоподъёмность увеличена на [decea3]200[-].\nСкладывается с эффектом от [decea3]стероидов[-]."
ulmBuffHoldHeavyWeapon,"Тяжелое оружие"
ulmBuffHoldHeavyWeaponDesc,"Вы держите в руках тяжелое оружие, уменьшена подвижность и прыгучесть на [decea3]25%[-]"
ulmBuffHoldMovementSpeed10,"Увеличение скорости"
ulmBuffHoldMovementSpeed10Desc,"У вас в руках оружие, которое позволяет вам ходить и бегать быстрее [decea3]10%[-]"
ulmBuffPoisoned,"Отравление"
ulmBuffPoisonedDesc,"Вы отравлены.\n\nУрон в ближнем бою уменьшен на [decea3]10%[-], регенерация выносливости и сопротивление оглушению уменьшены на [decea3]20%[-]. Подвижность снизилась на [decea3]5%[-]. Легкое обезвоживание.\n\nМожно вылечить с помощью [decea3]противоядия[-]\n\nПри [decea3]100%[-] смерть."
ulmBuffPoisonedUntreated,"Невылеченный яд"
ulmBuffPoisonedUntreatedDesc,"Вы получили тяжёлое отравление.\n\nУрон в ближнем бою снижен на [decea3]20%[-], восстановление выносливости и сопротивление оглушению снижены на [decea3]40%[-]. Подвижность снижена на [decea3]10%[-]. Сильное обезвоживание. Можно вылечить с помощью [decea3]противоядия[-].\n\nПри [decea3]100%[-] отравление смертельно, если его не лечить."
ulmBuffPoisonTreated,"Обработанный яд"
ulmBuffPoisonTreatedDesc,"Лечение отравления.\n\n[decea3]Отравление ниже 50%:[-]\n [decea3]-7.5%[-] урона в ближнем бою\n [decea3]-15%[-] восстановления выносливости\n [decea3]-15%[-] сопротивления оглушению\n [decea3]-2.5%[-] подвижности\n\n[decea3]Отравление выше 50%:[-]\n [decea3]-15%[-] урона в ближнем бою\n [decea3]-30%[-] восстановления выносливости\n [decea3]-30%[-] сопротивления оглушению\n [decea3]-5%[-] подвижности\n\n[decea3]Отравление 100%:[-]\nСмертельно"
ulmBuffPoisonTreatedTooltip,"Эффект яда нейтрализуется, уменьшая вызванные им последствия."
ulmBuffPoisonedTooltip,"[FF1919]Вы отравлены![-]"
ulmBuffLungInfectionStage1,"Инфекция лёгких, стадия 1"
ulmBuffLungInfectionStage1Desc,"Вы слишком долго находились в загрязнённом воздухе и получили повреждение лёгких 1-й стадии. Дальнейшее воздействие ухудшит инфекцию. Если не подвергаться воздействию загрязнённого воздуха, со временем состояние улучшится.\n\nБолезнь оказывает следующие отрицательные эффекты:[FF1919]\n10% быстрее расходуется вода\n-10% урона в ближнем бою\n-5% к скорости восстановления выносливости\n-10 к максимальной выносливости[-]"
ulmBuffLungInfectionStage2,"Инфекция лёгких, стадия 2"
ulmBuffLungInfectionStage2Desc,"Вы слишком долго находились в загрязнённом воздухе и получили повреждение лёгких 2-й стадии. Если не подвергаться воздействию загрязнённого воздуха, со временем состояние улучшится.\n\nБолезнь оказывает следующие отрицательные эффекты:[FF1919]\n20% быстрее расходуется вода\n-20% урона в ближнем бою\n-10% к скорости восстановления выносливости\n-20 к максимальной выносливости[-]"
ulmBuffLungInfectionStage1Tooltip,"Вы страдаете от инфекции лёгких 1-й стадии!"
ulmBuffLungInfectionStage2Tooltip,"Вы страдаете от инфекции лёгких 2-й стадии!"
ulmBuffPollutedAir,"Загрязнённый воздух"
ulmBuffPollutedAirDesc,"Воздух слишком загрязнён, чтобы им дышать. Наденьте противогаз или найдите укрытие рядом с очистителем воздуха, чтобы избежать дальнейшего повреждения лёгких."
ulmBuffWeatherHot1,"Жарко"
ulmBuffWeatherHot1Desc,"Вам жарко. Подберите подходящую одежду или найдите укрытие. В жару жажда наступает быстрее."
ulmBuffWeatherHot2,"Зной"
ulmBuffWeatherHot2Desc,"Вам очень жарко. Подберите подходящую одежду или найдите укрытие. В зной жажда наступает быстрее."
ulmBuffWeatherHot3,"Невыносимая жара"
ulmBuffWeatherHot3Desc,"Вам невыносимо жарко. Подберите подходящую одежду или найдите укрытие. При такой жаре жажда наступает быстрее, а здоровье уменьшается каждую секунду."
ulmBuffWeatherCold1,"Холодно"
ulmBuffWeatherCold1Desc,"Вам холодно. Найдите одежду или укрытие, возьмите факел либо разведите костёр. На холоде организм расходует больше калорий."
ulmBuffWeatherCold2,"Очень холодно"
ulmBuffWeatherCold2Desc,"Вам очень холодно. Найдите одежду или укрытие, возьмите факел либо разведите костёр. При замерзании организм расходует больше калорий."
ulmBuffWeatherCold3,"Замерзание"
ulmBuffWeatherCold3Desc,"Вы замерзаете насмерть. Найдите одежду или укрытие, возьмите факел либо разведите костёр. При замерзании организм расходует больше калорий, а здоровье уменьшается каждую секунду."
ulmBuffAirPurifier,"Очищенный воздух"
ulmBuffAirPurifierDesc,"Рядом работает очиститель воздуха, который фильтрует загрязнения и позволяет дышать без риска воздействия загрязнённого воздуха."
ulmBuffAirConditioner,"Кондиционированный воздух"
ulmBuffAirConditionerDesc,"Рядом работает кондиционер, повышающий устойчивость к жаре в радиусе действия.\n\n[decea3]+20[-] к устойчивости к жаре"
ulmBuffHeater,"Нагретый воздух"
ulmBuffHeaterDesc,"Рядом работает обогреватель, повышающий устойчивость к холоду в радиусе действия.\n\n[decea3]+20[-] к устойчивости к холоду"
ulmBuffWeatherCold1Tooltip,"Вам холодно!"
ulmBuffWeatherCold2Tooltip,"Вам очень холодно!"
ulmBuffWeatherCold3Tooltip,"Вы замерзаете!"
ulmBuffWeatherHot1Tooltip,"Вам жарко!"
ulmBuffWeatherHot2Tooltip,"Вы изнываете от жары!"
ulmBuffWeatherHot3Tooltip,"Невыносимая жара!"
ulmBuffArmorDamagedHead,"Поврежден шлем"
ulmBuffArmorDamagedHeadDesc,"Ваш [decea3]шлем[-] поврежден."
ulmBuffArmorDamagedChest,"Поврежден нагрудник"
ulmBuffArmorDamagedChestDesc,"Ваш [decea3]нагрудник[-] поврежден."
ulmBuffArmorDamagedHands,"Повреждены перчатки"
ulmBuffArmorDamagedHandsDesc,"Ваши [decea3]перчатки[-] повреждены."
ulmBuffArmorDamagedLegs,"Повреждены поножи"
ulmBuffArmorDamagedLegsDesc,"Ваши [decea3]поножи[-] повреждены."
ulmBuffArmorDamagedFeet,"Повреждены ботинки"
ulmBuffArmorDamagedFeetDesc,"Ваши [decea3]ботинки[-] повреждены."
ulmBuffArmorBrokenHead,"Сломан шлем"
ulmBuffArmorBrokenHeadDesc,"Ваш [decea3]шлем[-] сломан."
ulmBuffArmorBrokenChest,"Сломан нагрудник"
ulmBuffArmorBrokenChestDesc,"Ваш [decea3]нагрудник[-] сломан."
ulmBuffArmorBrokenHands,"Сломаны перчатки"
ulmBuffArmorBrokenHandsDesc,"Ваши [decea3]перчатки[-] сломаны."
ulmBuffArmorBrokenLegs,"Сломаны поножи"
ulmBuffArmorBrokenLegsDesc,"Ваши [decea3]поножи[-] сломаны."
ulmBuffArmorBrokenFeet,"Сломаны ботинки"
ulmBuffArmorBrokenFeetDesc,"Ваши [decea3]ботинки[-] сломаны."
buffEnforcerCriminalPursuitName,"Погоня"
buffEnforcerCriminalPursuitDesc,"Спринт с пистолетом 44-го калибра в бою расходует на 20% меньше выносливости."
attbooks,"Книги"
skillCombatPerksName,"Бой"
skillAgilityAthleticsName,"Атлетика"
skillAgilityStealthName,"Скрытность"
skillIntellectInfluenceName,"Влияние"
skillIntellectCraftsmanshipName,"Разборка"
ulm_AttAttributes,"Прогресс"
ulm_AttAttributesDesc,"\n\n\n\n\n\n\n\n\n\n\nВыберите один из навыков с правой стороны, чтобы увидеть более подробную информацию о нем"
ulm_skill_placeholder,"Умение недоступно"
ulmAttributes,"Умения"
attActionSkills,"Навыки"
ulmBooks,"Коллекция"
reqSkillPoints1,"1 ОУ"
reqSkillPoints2,"2 ОУ"
reqSkillPoints3,"3 ОУ"
actionPerkTipExp,"Текущий"
actionPerkTipExpLong,"Текущий опыт"
actionPerkTipExpNext,"до след."
actionPerkTipExpNextLong,"Опыта для повышения уровня"
actionSkillDeathPenalty,"Вы пережили потерю памяти, в результате чего некоторые ваши\n[decea3]навыки действий[-] снизились на один уровень"
attActionSkillsDesc,"Навыки пассивно повышаются при выполнении различных задач.\n\nРазные действия будут повышать уровень навыков, например, использование определенного оружия, бег\прыжки, разбор техники и т.д.\n\nВыберите любой из навыков, чтобы увидеть текущий прогресс навыка."
actionPerkDesc,"[decea3]Навык[-]: Уровень повышается сам по себе при выполнении определенных действий (стрельба из лука\копка\разборка предметов и т.д.) или при прочтении книги относящихся к навыку.\n\n"
skillStrengthGeneralName,"Мышцы"
skillStrengthConstructionName,"Горное дело"
skillFortitudeSurvivalName,"Выживание"
skillFortitudeRecoveryName,"Восстановление"
skillPerceptionGeneralName,"Охота"
skillPerceptionScavengingName,"Разборка"
actionPerkSniperRifles,"Снайперские винтовки"
actionPerkSniperRifles1,"Урон, точность, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkSniperRifles2,"Урон, точность, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkSniperRifles3,"Урон, точность, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkSniperRifles4,"Урон, точность, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkSniperRifles5,"Урон, точность, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkArchery,"Луки и арбалеты"
actionPerkArchery1,"Урон, точность, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки и натягивания тетивы [decea3]+5%[-]"
actionPerkArchery2,"Урон, точность, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+10%[-]"
actionPerkArchery3,"Урон, точность, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+15%[-]"
actionPerkArchery4,"Урон, точность, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+20%[-]"
actionPerkArchery5,"Урон, точность, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки и натягивания тетивы[decea3]+25%[-]"
actionPerkSpears,"Копья"
actionPerkSpears1,"Древковое оружие получает [decea3]5%[-] к шансу расчленения, наносит на [decea3]5%[-] больше урона и получает [decea3]10%[-] дополнительного урона при попадании в голову."
actionPerkSpears2,"Древковое оружие получает [decea3]10%[-] к шансу расчленения, наносит на [decea3]10%[-] больше урона и получает [decea3]20%[-] дополнительного урона при попадании в голову."
actionPerkSpears3,"Древковое оружие получает [decea3]15%[-] к шансу расчленения, наносит на [decea3]15%[-] больше урона и получает [decea3]30%[-] дополнительного урона при попадании в голову."
actionPerkSpears4,"Древковое оружие получает [decea3]20%[-] к шансу расчленения, наносит на [decea3]20%[-] больше урона и получает [decea3]40%[-] дополнительного урона при попадании в голову."
actionPerkSpears5,"Древковое оружие получает [decea3]25%[-] к шансу расчленения, наносит на [decea3]25%[-] больше урона и получает [decea3]50%[-] дополнительного урона при попадании в голову."
actionPerkLockPicking,"Взлом замков"
actionPerkLockpickingDesc,"Улучшает ваше умение взламывать замки, увеличивая скорость взлома замка до [decea3]50%[-]. Чтобы улучшить это умение, взламывайте замки."
actionPerkLockPicking1,"[decea3]+20[-] к взлому замков\nОтмычки и шпильки имеют на [decea3]20%[-] больше прочности"
actionPerkLockPicking2,"[decea3]+40[-] к взлому замков\nОтмычки и шпильки имеют на [decea3]40%[-] больше прочности"
actionPerkLockPicking3,"[decea3]+60[-] к взлому замков\nОтмычки и шпильки имеют на [decea3]60%[-] больше прочности"
actionPerkLockPicking4,"[decea3]+80[-] к взлому замков\nОтмычки и шпильки имеют на [decea3]80%[-] больше прочности"
actionPerkLockPicking5,"[decea3]+100[-] к взлому замков\nОтмычки и шпильки имеют на [decea3]100%[-] больше прочности"
actionPerkLooting,"Ищейка"
actionPerkLooting1,"Время обыска [decea3]-10%[-]\nУровень стадии добычи [decea3]+5%[-]"
actionPerkLooting2,"Время обыска [decea3]-20%[-]\nУровень стадии добычи [decea3]+10%[-]"
actionPerkLooting3,"Время обыска [decea3]-30%[-]\nУровень стадии добычи [decea3]+15%[-]"
actionPerkLooting4,"Время обыска [decea3]-40%[-]\nУровень стадии добычи [decea3]+20%[-]"
actionPerkLooting5,"Время обыска [decea3]-50%[-]\nУровень стадии добычи [decea3]+25%[-]"
actionPerkButcher,"Свежевание"
actionPerkButcher1,"Ресурсов с трупов животных [decea3]+10%[-]"
actionPerkButcher2,"Ресурсов с трупов животных [decea3]+20%[-]"
actionPerkButcher3,"Ресурсов с трупов животных [decea3]+30%[-]"
actionPerkButcher4,"Ресурсов с трупов животных [decea3]+40%[-]"
actionPerkButcher5,"Ресурсов с трупов животных [decea3]+50%[-]"
actionPerkStrength,"Поднятие тяжестей"
actionPerkStrength1,"Увеличивает переносимый вес на [decea3]20[-] единиц"
actionPerkStrength2,"Увеличивает переносимый вес на [decea3]40[-] единиц"
actionPerkStrength3,"Увеличивает переносимый вес на [decea3]60[-] единиц"
actionPerkStrength4,"Увеличивает переносимый вес на [decea3]80[-] единиц"
actionPerkStrength5,"Увеличивает переносимый вес на [decea3]100[-] единиц"
actionPerkAssaultRifles,"Автоматические винтовки"
actionPerkAssaultRifles1,"Урон, точность, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkAssaultRifles2,"Урон, точность, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkAssaultRifles3,"Урон, точность, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkAssaultRifles4,"Урон, точность, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkAssaultRifles5,"Урон, точность, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkClubs,"Дубинки"
actionPerkClubs1,"Урон, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nДополнительный урон по оглушенным целям [decea3]+10%[-]"
actionPerkClubs2,"Урон, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nДополнительный урон по оглушенным целям [decea3]+20%[-]"
actionPerkClubs3,"Урон, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nДополнительный урон по оглушенным целям [decea3]+30%[-]"
actionPerkClubs4,"Урон, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nДополнительный урон по оглушенным целям [decea3]+40%[-]"
actionPerkClubs5,"Урон, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nДополнительный урон по оглушенным целям [decea3]+50%[-]"
actionPerkSledgehammers,"Молоты"
actionPerkSledgehammers1,"Урон, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\n"
actionPerkSledgehammers2,"Урон, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\n"
actionPerkSledgehammers3,"Урон, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\n"
actionPerkSledgehammers4,"Урон, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\n"
actionPerkSledgehammers5,"Урон, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\n"
actionPerkAxes,"Лесоруб"
actionPerkAxes1,"Урон [decea3]+10%[-]\nЭффективность заготовки [decea3]+10%[-]"
actionPerkAxes2,"Урон [decea3]+20%[-]\nЭффективность заготовки [decea3]+20%[-]"
actionPerkAxes3,"Урон [decea3]+30%[-]\nЭффективность заготовки [decea3]+30%[-]"
actionPerkAxes4,"Урон [decea3]+40%[-]\nЭффективность заготовки [decea3]+40%[-]"
actionPerkAxes5,"Урон [decea3]+50%[-]\nЭффективность заготовки [decea3]+50%[-]"
actionPerkShovels,"Землекоп"
actionPerkShovels1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkShovels2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkShovels3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkShovels4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkShovels5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkMining,"Шахтер"
actionPerkMiningDesc,"Вы становитесь более умелым при использовании инструментов, связанных с добычей полезных ископаемых, таких как кирки и буры. Используйте шахтерские инструменты, чтобы улучшить этот навык."
actionPerkMiningEffect,"[decea3]+0.5%[-] Урон блокам, [decea3]+0.2%[-] скорость атаки, [decea3]-0.2%[-] расход выносливости."
actionPerkMining1,"Урон [decea3]+10%[-]\nДополнительные ресурсы [decea3]+10%[-]"
actionPerkMining2,"Урон [decea3]+20%[-]\nДополнительные ресурсы [decea3]+20%[-]"
actionPerkMining3,"Урон [decea3]+30%[-]\nДополнительные ресурсы [decea3]+30%[-]"
actionPerkMining4,"Урон [decea3]+40%[-]\nДополнительные ресурсы [decea3]+40%[-]"
actionPerkMining5,"Урон [decea3]+50%[-]\nДополнительные ресурсы [decea3]+50%[-]"
actionPerkShotguns,"Дробовики"
actionPerkShotgunsDesc,"Повышает скорострельность [decea3]дробовика[-], скорость перезарядки, урон и точность до [decea3]25%[-]. Используйте дробовики, чтобы развить этот навык."
actionPerkShotgunsEffect,"Повышает скорострельность [decea3]дробовика[-], скорость перезарядки, урон и точность \nна [decea3]0.25%[-]."
actionPerkShotguns1,"Урон, скорострельность, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkShotguns2,"Урон, скорострельность, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkShotguns3,"Урон, скорострельность, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkShotguns4,"Урон, скорострельность, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkShotguns5,"Урон, скорострельность, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkBrawler,"Дебошир"
actionPerkBrawler1,"Урон, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]"
actionPerkBrawler2,"Урон, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]"
actionPerkBrawler3,"Урон, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]"
actionPerkBrawler4,"Урон, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]"
actionPerkBrawler5,"Урон, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]"
actionPerkResistHeat,"Устойчивость к жаре"
actionPerkResistHeat1,"Устойчивость к жаре [decea3]+0.5[-]"
actionPerkResistHeat2,"Устойчивость к жаре [decea3]+1.0[-]"
actionPerkResistHeat3,"Устойчивость к жаре [decea3]+1.5[-]"
actionPerkResistHeat4,"Устойчивость к жаре [decea3]+2.0[-]"
actionPerkResistHeat5,"Устойчивость к жаре [decea3]+2.5[-]"
actionPerkResistCold,"Устойчивость к холоду"
actionPerkResistCold1,"Устойчивость к холоду [decea3]+0.5[-]"
actionPerkResistCold2,"Устойчивость к холоду [decea3]+1.0[-]"
actionPerkResistCold3,"Устойчивость к холоду [decea3]+1.5[-]"
actionPerkResistCold4,"Устойчивость к холоду [decea3]+2.0[-]"
actionPerkResistCold5,"Устойчивость к холоду [decea3]+2.5[-]"
actionPerkResistPain,"Болевой порог"
actionPerkResistPain1,"Потеря здоровья [decea3]-4%[-]\nСопротивление оглушению [decea3]+10%[-]"
actionPerkResistPain2,"Потеря здоровья [decea3]-8%[-]\nСопротивление оглушению [decea3]+20%[-]"
actionPerkResistPain3,"Потеря здоровья [decea3]-12%[-]\nСопротивление оглушению [decea3]+30%[-]"
actionPerkResistPain4,"Потеря здоровья [decea3]-16%[-]\nСопротивление оглушению [decea3]+40%[-]"
actionPerkResistPain5,"Потеря здоровья [decea3]-20%[-]\nСопротивление оглушению [decea3]+50%[-]"
actionPerkHealing,"Лекарь"
actionPerkHealingDesc,"Увеличивает максимальное здоровье до [decea3]50[-]. Используйте медикаменты для развития навыка."
actionPerkHealingEffect,"Увеличивает максимальное здоровье на [decea3]0.5[-]."
actionPerkHealing1,"медицинский предметы [decea3]10%[-] больше эффективный"
actionPerkHealing2,"медицинский предметы [decea3]20%[-] больше эффективный"
actionPerkHealing3,"медицинский предметы [decea3]30%[-] больше эффективный"
actionPerkHealing4,"медицинский предметы [decea3]40%[-] больше эффективный"
actionPerkHealing5,"медицинский предметы [decea3]50%[-] больше эффективный"
actionPerkHandguns,"Пистолеты"
actionPerkHandgunsDesc,"Повышает скорострельность, скорость перезарядки, урон и точность [decea3]пистолетов[-] на [decea3]25%[-]. Используйте пистолеты для развития этого навыка."
actionPerkHandgunsEffect,"улучшает [decea3]Handgun[-] огонь скорость, перезарядка скорость, урон и прицеливание \nс помощью [decea3]0.25%[-]."
actionPerkHandguns1,"Урон, точность, шанс расчленения [decea3]+5%[-]\nУрон в голову [decea3]+10%[-]\nСкорость перезарядки [decea3]+2%[-]"
actionPerkHandguns2,"Урон, точность, шанс расчленения [decea3]+10%[-]\nУрон в голову [decea3]+20%[-]\nСкорость перезарядки [decea3]+4%[-]"
actionPerkHandguns3,"Урон, точность, шанс расчленения [decea3]+15%[-]\nУрон в голову [decea3]+30%[-]\nСкорость перезарядки [decea3]+6%[-]"
actionPerkHandguns4,"Урон, точность, шанс расчленения [decea3]+20%[-]\nУрон в голову [decea3]+40%[-]\nСкорость перезарядки [decea3]+8%[-]"
actionPerkHandguns5,"Урон, точность, шанс расчленения [decea3]+25%[-]\nУрон в голову [decea3]+50%[-]\nСкорость перезарядки [decea3]+10%[-]"
actionPerkBlades,"Клинки и мечи"
actionPerkBladesDesc,"Повышает урон клинкового оружия, скорость атаки и шанс расчленения (увечья) на [decea3]25%[-], количество собираемого мяса на [decea3]40%[-]. Используйте клинковое оружие для развития этого навыка."
